courseId,shortName,name,type,minStudents,maxStudents,deadline
23,HW2,HW2,Java,1,2,21/11/2022 23:59
23,HW3,HW3,Java,1,2,22/12/2022 23:59
23,HW4,HW4,Java,1,2,28/12/2022 23:59
23,HW5,HW5,Java,1,2,23/01/2022 23:59
23,HW6,HW6,Java,1,2,23/01/2022 23:59
35,HW6,HW6,Java,1,2,23/01/2022 23:59
37,lab03,lab03,Java,1,2,16/11/2021 23:59
37,lab03v2,lab03v2,Java,1,2,16/11/2021 23:59
37,lab04,lab04,Java,1,2,23/11/2021 23:59
37,lab05,lab05,Java,1,2,07/12/2021 23:59
37,lab06,lab06,Java,1,2,14/12/2021 23:59
37,lab07,lab07,Java,1,2,21/12/2021 23:59
37,lab08,lab08,Java,1,2,28/12/2021 23:59
37,lab09,lab09,Java,1,2,04/01/2022 23:59
37,lab10,lab10,Java,1,2,11/01/2022 23:59
37,lab11,lab11,Java,1,2,18/01/2022 23:59
37,lab12,lab12,Java,1,2,25/01/2022 23:59
35,HW2,HW2,Java,1,2,21/11/2021 23:59
35,HW3,HW3,Java,1,2,22/12/2021 23:59
35,HW4,HW4,Java,1,2,28/12/2021 23:59
35,HW5,HW5,Java,1,2,23/01/2022 23:59
35,HW6,HW6,Java,1,2,23/01/2022 23:59
40,lab01,lab01,Java,1,2,10/3/2022 23:59
40,lab02,lab02,Java,1,2,17/3/2022 23:59
40,lab03,lab03,Java,1,2,24/3/2022 23:59
40,lab04,lab04,Java,1,2,31/3/2022 23:59
40,lab05,lab05,Java,1,2,7/4/2022 23:59
40,lab06,lab06,Java,1,2,14/4/2022 23:59
40,lab07,lab07,Java,1,2,28/4/2022 23:59
40,lab08,lab08,Java,1,2,5/5/2022 23:59
40,lab09,lab09,Java,1,2,12/5/2022 23:59
40,lab10,lab10,Java,1,2,19/5/2022 23:59
40,lab11,lab11,Java,1,2,26/5/2022 23:59
40,lab12,lab12,Java,1,2,2/6/2022 23:59
40,lab13,lab13,Java,1,2,9/6/2022 23:59
40,HW1,HW1,Java,1,2,21/03/2022 23:59
40,HW2,HW2,Java,1,2,21/04/2022 23:59
40,HW3,HW3,Java,1,2,26/05/2022 23:59
40,HW4,HW4,Java,1,2,28/05/2022 23:59
40,HW5,HW5,Java,1,2,23/06/2022 23:59
40,HW5,HW5,Java,1,2,23/06/2022 23:59
40,HW6,HW6,Java,1,2,23/06/2022 23:59
